node,score
Food_loss_and_waste_to_be_part_of_national_climate_strategies,0
"Jalkanen,_L..",0
Swedish_food_retailers_promoting_climate_smarter_food_choices—Trapped_between_visions_and_reality?,0
O.,0
Prajal_Pradhan,0
Lorraine_Balaine,0
Proc._Waste:_The_Social_Context,0
Penny_Gordon-Larsen,0
"Recycling,_recovering_and_preventing_“food_waste”:_competing_solutions_for_food_systems_sustainability_in_the_United_States_and_France",0
Pakistan_Journal_of_Nutrition,0
Drivers_of_food_waste_and_their_implications_for_sustainable_policy_development,0
Kirsi_Usva,0
"Hazas,_M.",0
government,0
Lara_Manzocco,0
Technological_and_Consumer_Strategies_to_Tackle_Food_Wasting,0
"Staikos,_T.",0
W.F._Huang,0
Marlieke_Penninx,0
Ceren_Hic,0
Nigel_Wright,0
From_Waste_to_Resource:_The_Trade_in_Wastes_and_Global_Recycling_Economies,0
"Reinikainen,_A",0
YORK_UNIVERSITY,0
Food_Wastage_in_Turkey:_An_Exploratory_Survey_on_Household_Food_Waste,0
Purificación_García-Segovia,0
A_Change_for_the_Better?_Digital_Health_Technologies_and_Changing_Food_Consumption_Behaviors,0
Journal_of_Environmental_Management,0
3,0
K_Arshinder,0
S_Franco,0
K._Boonroda,0
Why_doorstepping_can_increase_household_waste_recycling,0
Throwing_It_All_Away:_Exploring_Affluent_Consumers'_Attitudes_Toward_Wasting_Edible_Food,0
110,0
Economic_benefits_from_food_recovery_at_the_retail_stage:_an_application_to_Italian_food_chains,0
L_Steg,0
http://www.w3.org/2001/XMLSchema#short,0
Yrjö_Virtanen,0
S._Bonnet,0
An_observational_study_of_refrigerator_food_storage_by_consumers_in_controlled_conditions,0
Veronica_Sharp,0
Hervé_Corvellec,0
Journal_of_Management_and_Finance,0
The_causes_of_food_waste_in_the_supplier–retailer_interface:_Evidences_from_the_UK_and_Spain,0
Information_sharing_and_curbside_recycling:_A_pilot_study_to_evaluate_the_value_of_door-to-door_distribution_of_informational_literature,0
Gang_Liu,0
Effie_Papargyropoulou,0
Jørgen_Dejgård_Jensen,0
Allowing customers to choose how many eggs they purchase,0
Comparative_Analysis_of_Composting_as_a_Municipal_Solid_Waste_Treatment_Process_in_India,0
M_Martin,0
food_security,0
Joseph_Langley,0
"CARDONE,_G.",0
Food_waste_volume_and_origin:_Case_studies_in_the_Finnish_food_service_sector,0
DC_Love,0
The_influence_of_packaging_attributes_on_recycling_and_food_waste_behaviour_e_An_environmental_comparison_of_two_packaging_alternatives,0
Mathias_Funk,0
A_Jellil,0
Alessandro_Perego,0
Alaster_Yoxall,0
Mercedes_Hortal,0
Modelling_of_food_loss_within_life_cycle_assessment:_From_current_practice_towards_a_systematisation,0
"Lim,_V.",0
Marie_Briguglio,0
Rutten,0
M.P.R._Gordona,0
"Høj,_S.B.",0
A_Matter_of_Waste:_Making_experiences_and_perceptions_of_household_food_waste_visible,0
Flemming_Møller,0
Miranda_Mirosa_Harriet_Munro_Ella_Mangan-Walker_David_Pearson,0
M_Sahakian,0
Leiden_University,0
K_Rousta,0
Kaisa_Grönman,0
Jai_Shanker_Pandey,0
Cait_Lamberton,0
L_Secondi,0
Chen_Liu,0
Ada_Rocha,0
Secondary_Data,0
Jad_Chaaban,0
Dragana_Vojteski_Kljenak,0
publishedIn,0
Food_Waste_in_Retailing_Stores_in_Sweden_A_welfare_simulation_analysis,0
Christina_D_Economos,0
Isabel_Ordonez,0
K_Lasaridi,0
Norbert_L.W._Wilson,0
Recycling_Behaviour_Among_Householders:_Synthesizing_Determinants_Via_a_Meta-analysis,0
Jayne_Cox,0
Antonio_Lobo,0
"Chabada,_L.",0
A_Azapagic,0
Washington,0
Social_&_Cultural_Geography,0
Point_to_key_factors,0
"Schenck,_R..",0
Priority_research_questions_for_the_UK_food_system,0
K_Venkat,0
Food_waste_paradox:_antecedents_of_food_disposal_in_low_income_households,0
ALB_EVERS,0
Using Anaerobic digestion to treat food waste local authorities and businesses,0
f27dad70284dd4fb89d475092626a2100b22,0
"Disrupting_household_food_consumption_through_experimental_HomeLabs:_Outcomes,_connections,_contexts",0
Tania_Hernández_Cervantes,0
N.K.L._Robinson,0
Environmental_Impacts_of_Dietary_Recommendations_and_Dietary_Styles:_Germany_As_an_Example,0
Key_characteristics_and_success_factors_of_supply_chain_initiatives_tackling_consumer-related_food_waste–A_multiple_case_study,0
19th_IAPRI_World_Conference_on_Packaging,0
A_Syroegina,0
University_of_Guelph,0
KA_Johnson,0
Planning_food_waste,0
Funding,0
Breanna_Wright,0
Michelle_Coyne,0
NE_Orias,0
Habitat_International,0
Carly_Fraser,0
The_progressive_increase_of_food_waste_in_America_and_its_environmental_impact,0
Sylvain_Charlebois,0
Sanaa_Pirani,0
An_overview_of_food_waste_management_in_developing_countries:_current_status_and_future_perspective,0
"SASSI,_K..",0
This_apple_is_too_ugly_for_me!:_Consumer_preferences_for_suboptimal_food_products_in_the_supermarket_and_at_home,0
"LCA_Modelling,_MFA",0
Bread_and_Bakery_Products_Waste_in_Selected_Mediterranean_Arab_Countries,0
Moira_Matsubuchi-Shaw,0
